,name,name2,position
8,Raheem Sterling,raheem sterling,FW
9,James Rodríguez,james rodriguez,FW
10,Ollie Watkins,ollie watkins,FW
11,Michail Antonio,mikhail antonio,FW
12,Dominic Calvert-Lewin,dominic calvert-lewin,FW
13,Phil Foden,phil foden,FW
14,Marcus Rashford,marcus rashford,FW
15,Allan Saint-Maximin,allan saint maximin,FW
16,Gabriel Jesus,gabriel jesus,FW
17,Pedro Neto,pedro neto,FW
18,Adama Traoré,adama traore,FW
19,Roberto Firmino,roberto firmino,FW
20,Jamie Vardy,jamie vardy,FW
21,Christian Benteke,christian benteke,FW
22,Bernardo Silva,bernardo silva,FW
23,Mohamed Salah,mohammed salah,FW
24,Patrick Bamford,patrick bamford,FW
25,Richarlison,richarlison,FW
26,Jack Harrison,jack harrison,FW
27,Ademola Lookman,adamola lookman,FW
28,Diogo Jota,diogo jota,FW
29,Alexandre Lacazette,alexandre lacazette,FW
30,Andros Townsend,andros townsend,FW
31,Wilfried Zaha,wilfred zaha,FW
32,Bertrand Traoré,bertrand traore,FW
33,Kelechi Iheanacho,kelechi iheanacho,FW
34,Anthony Martial,anthony martial,FW
35,Danny Ings,danny ings,FW
36,Callum Wilson,callum wilson,FW
37,Pascal Groß,pascal gross,FW
38,Chris Wood,chris wood,FW
39,Timo Werner,timo werner,FW
40,Leandro Trossard,leandro trossard,FW
41,Anwar El Ghazi,anwar el ghazi,FW
42,Pierre-Emerick Aubameyang,pierre-emerick aubameyang,FW
43,Che Adams,che adams,FW
44,Ferran Torres,ferran torres,FW
45,Nicolas Pépé,nicolas pepe,FW
46,Jarrod Bowen,jarrod bowen,FW
47,Joelinton,joelinton,FW
48,Christian Pulisic,christian pulisic,FW
49,David McGoldrick,david mcgoldrick,FW
50,Mason Greenwood,mason greenwood,FW
51,Tammy Abraham,tammy abraham,FW
52,Daniel Podence,daniel podence,FW
53,Oliver McBurnie,oliver mcburnie,FW
54,Edinson Cavani,edinson cavani,FW
55,Rodrigo,rodrigo,FW
56,Gylfi Sigurdsson,gylfi sigurdsson,FW
57,Danny Welbeck,danny welbeck,FW
58,Miguel Almirón,miguel almiron,FW
59,Lucas Moura,lucas mora,FW
60,Kai Havertz,kai havertz,FW
61,Ayoze Pérez,ayoze perez,FW
62,Neal Maupay,neal maupay,FW
63,Theo Walcott,theo walcott,FW
64,Nathan Redmond,nathan redmond,FW
65,Ivan Cavaleiro,ivan cavaleiro,FW
66,Bobby De Cordova-Reid,bobby de cordova-reid,FW
67,Jordan Ayew,jordan ayew,FW
68,Aleksandar Mitrovic,aleksandar mitrovic,FW
69,Steven Bergwijn,steven bergwijn,FW
70,Ashley Barnes,ashley barnes,FW
71,Alexis Mac Allister,alexis macallister,FW
72,Tyler Roberts,tyler roberts,FW
73,Callum Robinson,callum robinson,FW
74,Matej Vydra,matej vydra,FW
75,Matt Phillips,matt phillips,FW
76,Fábio Silva,fabio silva,FW
77,Jay Rodriguez,jay rodriguez,FW
78,Oliver Burke,olivier burke,FW
79,Rhian Brewster,rhian brewster,FW
80,Karlan Grant,karl grant,FW
81,Hal Robson-Kanu,hal robson canoe,FW
0,Mohamed Salah,mohammed salah,FW
1,Kevin De Bruyne,kevin de bruyne,FW
2,Son Heung-Min,son heung min,FW
